date	Adams County NE	Antelope County NE	Arthur County NE	Banner County NE	Blaine County NE	Boone County NE	Box Butte County NE	Boyd County NE	Brown County NE	Buffalo County NE	Burt County NE	Butler County NE	Cass County NE	Cedar County NE	Chase County NE	Cherry County NE	Cheyenne County NE	Clay County NE	Colfax County NE	Cuming County NE	Custer County NE	Dakota County NE	Dawes County NE	Dawson County NE	Deuel County NE	Dixon County NE	Dodge County NE	Dundy County NE	Fillmore County NE	Franklin County NE	Frontier County NE	Furnas County NE	Gage County NE	Garden County NE	Garfield County NE	Gosper County NE	Grant County NE	Greeley County NE	Hall County NE	Hamilton County NE	Harlan County NE	Hayes County NE	Hitchcock County NE	Holt County NE	Hooker County NE	Howard County NE	Jefferson County NE	Johnson County NE	Kearney County NE	Keith County NE	Keya Paha County NE	Kimball County NE	Knox County NE	Lincoln County NE	Logan County NE	Loup County NE	McPherson County NE	Madison County NE	Merrick County NE	Morrill County NE	Nance County NE	Nemaha County NE	Nuckolls County NE	Otoe County NE	Pawnee County NE	Perkins County NE	Phelps County NE	Pierce County NE	Platte County NE	Polk County NE	Red Willow County NE	Richardson County NE	Rock County NE	Saline County NE	Saunders County NE	Scotts Bluff County NE	Seward County NE	Sheridan County NE	Sherman County NE	Sioux County NE	Stanton County NE	Thayer County NE	Thomas County NE	Thurston County NE	Valley County NE	Washington County NE	Wayne County NE	Webster County NE	Wheeler County NE	York County NE
2010	31364	6685	460	690	478	5505	11308	2099	3145	46102	6858	8395	25241	8852	3966	5713	9998	6542	10515	9139	10939	21006	9182	24326	1941	6000	36691	2008	5890	3225	2756	4959	22311	2057	2049	2044	614	2538	58607	9124	3423	967	2908	10435	736	6274	7547	5217	6489	8368	824	3821	8701	36288	763	632	539	34876	7845	5042	3735	7248	4500	15740	2773	2970	9188	7266	32237	5406	11055	8363	1526	14200	20780	36970	16750	5469	3152	1311	6129	5228	647	6940	4260	20234	9595	3812	818	13665
2000	31151	7452	444	819	583	6259	12158	2438	3525	42259	7791	8767	24334	9615	4068	6148	9830	7039	10441	10203	11793	20253	9060	24365	2098	6339	36160	2292	6634	3574	3099	5324	22993	2292	1902	2143	747	2714	53534	9403	3786	1068	3111	11551	783	6567	8333	4488	6882	8875	983	4089	9374	34632	774	712	533	35226	8204	5440	4038	7576	5057	15396	3087	3200	9747	7857	31662	5639	11448	9531	1756	13843	19830	36951	16496	6198	3318	1475	6455	6055	729	7171	4647	18780	9851	4061	886	14598
1990	29625	7965	462	852	675	6667	13130	2835	3657	37447	7868	8601	21318	10131	4381	6307	9494	7123	9139	10117	12270	16742	9021	19940	2237	6143	34500	2582	7103	3938	3101	5553	22794	2460	2141	1928	769	3006	48925	8862	3810	1222	3750	12599	793	6055	8759	4673	6629	8584	1029	4108	9534	32508	878	683	546	32655	8042	5423	4275	7980	5786	14252	3317	3367	9715	7827	29820	5675	11705	9937	2019	12715	18285	36025	15450	6750	3718	1549	6244	6635	851	6936	5169	16607	9364	4279	948	14428
1980	30656	8675	513	918	867	7391	13696	3331	4377	34797	8813	9330	20297	11375	4758	6758	10057	8106	9890	11664	13877	16573	9609	22304	2462	7137	35847	2861	7920	4377	3647	6486	24456	2802	2363	2140	877	3462	47690	9301	4292	1356	4079	13552	990	6773	9817	5285	7053	9364	1301	4882	11457	36455	983	859	593	31382	8945	6085	4740	8367	6726	15183	3937	3637	9769	8481	28852	6320	12615	11315	2383	13131	18716	38344	15789	7544	4226	1845	6549	7582	973	7186	5633	15508	9858	4858	1060	14798
1970	30553	9047	606	1034	847	8190	10094	3752	4021	31222	9247	9461	18076	12192	4129	6846	10778	8266	9498	12034	14092	13137	9693	19467	2717	7453	34782	2926	8137	4566	3982	6897	25719	2929	2411	2178	1019	4000	42851	8867	4357	1530	4051	12933	939	6807	10436	5743	6707	8487	1340	6009	11723	29538	991	854	623	27402	8751	5813	5142	8976	7404	15576	4473	3423	9553	8493	26508	6468	12191	12277	2231	12809	17018	36432	14460	7285	4725	2034	5758	7779	954	6942	5783	13310	10400	6477	1054	13685
1960	28944	10176	680	1269	1016	9134	11688	4513	4436	26236	10192	10312	17821	13368	4317	8218	14828	8717	9595	12435	16517	12168	9536	19405	3125	8106	32471	3570	9425	5449	4311	7711	26818	3472	2699	2489	1009	4595	35757	8714	5081	1919	4829	13722	1130	6541	11620	6281	6580	7958	1672	7975	13300	28491	1108	1097	735	25145	8363	7057	5635	9099	8217	16503	5356	4189	9800	8722	23992	7210	12940	13903	2554	12542	17270	33809	13581	9049	5382	2575	5783	9118	1078	7237	6590	12103	9959	6224	1297	13724
1950	28855	11624	803	1325	1203	10721	12279	4911	5164	25134	11536	11432	16361	13843	5176	8397	12081	8700	10010	12994	19170	10401	9708	19393	3330	9129	26265	4354	9610	7096	5282	9385	28052	4114	2912	2734	1057	5575	32186	8778	7189	2404	5867	14859	1061	7226	13623	7251	6409	7449	2160	4283	14820	27380	1357	1348	825	24338	8812	8263	6512	10973	9609	17056	6744	4809	9048	9405	19910	8044	12977	16886	3026	14046	16923	33939	13155	9539	6421	3124	6387	10563	1206	8590	7252	11511	10129	7395	1526	14346
1940	24576	13289	1045	1403	1538	12127	10736	6060	5962	23655	12546	13106	16992	15126	5310	9637	9505	10445	10627	13562	22591	9836	10128	17890	3580	10413	23799	5122	11417	7740	6417	10098	29588	4680	3444	3687	1327	6845	27523	9982	7130	2958	6404	16552	1253	8422	15532	8662	6854	8333	3235	3913	16478	25425	1742	1777	1175	24269	9354	9436	7653	12781	10446	18994	8514	5197	8452	10211	20191	8748	11951	19178	3977	15010	17892	33917	14167	9869	7764	4001	6887	12262	1553	10243	8163	11578	9880	8071	2170	14874
1930	26275	15206	1344	1676	1584	14738	11861	7169	5772	24338	13062	14410	17684	16427	5484	10898	10187	13571	11434	14327	26189	9505	11493	17875	3992	11586	25273	5610	12971	9094	8114	12140	30242	5099	3207	4287	1427	8442	27117	12159	8957	3603	7269	16509	1180	10020	16409	9157	8094	6721	3203	4675	19110	25627	2014	1818	1358	26037	10619	9950	8718	12356	12629	19901	9423	5834	9261	11080	21181	10092	13859	19826	3366	16356	20167	28644	15938	10793	9122	4667	7809	13684	1510	10462	9533	12095	10566	10210	2335	17239
1920	22621	15243	1412	1435	1778	14146	8407	8243	6749	23787	12559	14606	18029	16225	4939	11753	8405	14486	11624	13769	26407	7694	10160	16004	3282	11815	23197	4869	13671	10067	8540	11657	29721	4572	3496	4669	1486	8685	23720	13237	9220	3327	6045	17151	1378	10739	16140	8940	8583	5294	3594	4498	18894	23420	1596	1946	1692	22511	10763	9151	8712	12547	13236	19494	9578	3967	9900	10681	19464	10714	11434	18968	3703	16514	20589	20710	15867	9625	8877	4528	7756	13976	1773	9589	9823	12180	9725	10922	2531	17146
