date	Arthur County NE	Banner County NE	Box Butte County NE	Chase County NE	Cherry County NE	Cheyenne County NE	Dawes County NE	Deuel County NE	Dundy County NE	Frontier County NE	Garden County NE	Grant County NE	Hayes County NE	Hitchcock County NE	Hooker County NE	Keith County NE	Kimball County NE	Lincoln County NE	Logan County NE	McPherson County NE	Morrill County NE	Perkins County NE	Red Willow County NE	Scotts Bluff County NE	Sheridan County NE	Sioux County NE	Thomas County NE	Albany County WY	Big Horn County WY	Campbell County WY	Carbon County WY	Converse County WY	Crook County WY	Fremont County WY	Goshen County WY	Hot Springs County WY	Johnson County WY	Laramie County WY	Lincoln County WY	Natrona County WY	Niobrara County WY	Park County WY	Platte County WY	Sheridan County WY	Sublette County WY	Sweetwater County WY	Teton County WY	Uinta County WY	Washakie County WY	Weston County WY
2010	460	690	11308	3966	5713	9998	9182	1941	2008	2756	2057	614	967	2908	736	8368	3821	36288	763	539	5042	2970	11055	36970	5469	1311	647	36299	11668	46133	15885	13833	7083	40123	13249	4812	8569	91738	18106	75450	2484	28205	8667	29116	10247	43806	21294	21118	8533	7208
2000	444	819	12158	4068	6148	9830	9060	2098	2292	3099	2292	747	1068	3111	783	8875	4089	34632	774	533	5440	3200	11448	36951	6198	1475	729	32014	11461	33698	15639	12052	5887	35804	12538	4882	7075	81607	14573	66533	2407	25786	8807	26560	5920	37613	18251	19742	8289	6644
1990	462	852	13130	4381	6307	9494	9021	2237	2582	3101	2460	769	1222	3750	793	8584	4108	32508	878	546	5423	3367	11705	36025	6750	1549	851	30797	10525	29370	16659	11128	5294	33662	12373	4809	6145	73142	12625	61226	2499	23178	8145	23562	4843	38823	11172	18705	8388	6518
1980	513	918	13696	4758	6758	10057	9609	2462	2861	3647	2802	877	1356	4079	990	9364	4882	36455	983	593	6085	3637	12615	38344	7544	1845	973	29062	11896	24367	21896	14069	5308	38992	12040	5710	6700	68649	12177	71856	2924	21639	11975	25048	4548	41723	9355	13021	9496	7106
1970	606	1034	10094	4129	6846	10778	9693	2717	2926	3982	2929	1019	1530	4051	939	8487	6009	29538	991	623	5813	3423	12191	36432	7285	2034	954	26431	10202	12957	13354	5938	4535	28352	10885	4952	5587	56360	8640	51264	2924	17752	6486	17852	3755	18391	4823	7100	7569	6307
1960	680	1269	11688	4317	8218	14828	9536	3125	3570	4311	3472	1009	1919	4829	1130	7958	7975	28491	1108	735	7057	4189	12940	33809	9049	2575	1078	21290	11898	5861	14937	6366	4691	26168	11941	6365	5475	60149	9018	49623	3750	16874	7195	18989	3778	17920	3062	7484	8883	7929
1950	803	1325	12279	5176	8397	12081	9708	3330	4354	5282	4114	1057	2404	5867	1061	7449	4283	27380	1357	825	8263	4809	12977	33939	9539	3124	1206	19055	13176	4839	15742	5933	4738	19580	12634	5250	4707	47662	9023	31437	4701	15182	7925	20185	2481	22017	2593	7331	7252	6733
1940	1045	1403	10736	5310	9637	9505	10128	3580	5122	6417	4680	1327	2958	6404	1253	8333	3913	25425	1742	1175	9436	5197	11951	33917	9869	4001	1553	13946	12911	6048	12644	6631	5463	16095	12207	4607	4980	33651	10286	23858	5988	10976	8013	19255	2778	19407	2543	7223	5858	4958
1930	1344	1676	11861	5484	10898	10187	11493	3992	5610	8114	5099	1427	3603	7269	1180	6721	4675	25627	2014	1358	9950	5834	13859	28644	10793	4667	1510	12041	11222	6720	11391	7145	5333	10490	11754	5476	4816	26845	10894	24272	4723	8207	9695	16875	1944	18165	2003	6572	4109	4673
1920	1412	1435	8407	4939	11753	8405	10160	3282	4869	8540	4572	1486	3327	6045	1378	5294	4498	23420	1596	1692	9151	3967	11434	20710	9625	4528	1773	9283	12105	5233	9525	7871	5524	11820	8064	5164	4617	20699	12487	14635	6321	7298	7421	18182	0	13640	0	6611	3106	4631
1910	0	1444	6131	3613	10414	4551	8254	1786	4098	8572	3538	1097	3011	5415	981	3692	1942	15684	1521	2470	4584	2570	11056	8355	7328	5599	1191	11574	8886	0	11282	6294	6492	11822	0	0	3453	26127	0	4766	0	4909	0	16324	0	11575	0	16982	0	4960
1900	0	1114	5572	2559	6541	5570	6215	2630	2434	8781	0	763	2708	4409	432	1951	758	11416	960	517	0	1702	9604	2552	6033	2055	628	13084	4328	0	9589	3337	3137	5357	0	0	2361	20181	0	1785	0	0	0	5122	0	8455	0	12223	0	3203
