date	Albany County	Big Horn County	Campbell County	Carbon County	Converse County	Crook County	Fremont County	Goshen County	Hot Springs County	Johnson County	Laramie County	Lincoln County	Natrona County	Niobrara County	Park County	Platte County	Sheridan County	Sublette County	Sweetwater County	Teton County	Uinta County	Washakie County	Weston County	Yellowstone National Park
2010	36299	11668	46133	15885	13833	7083	40123	13249	4812	8569	91738	18106	75450	2484	28205	8667	29116	10247	43806	21294	21118	8533	7208	
2000	32014	11461	33698	15639	12052	5887	35804	12538	4882	7075	81607	14573	66533	2407	25786	8807	26560	5920	37613	18251	19742	8289	6644	0
1990	30797	10525	29370	16659	11128	5294	33662	12373	4809	6145	73142	12625	61226	2499	23178	8145	23562	4843	38823	11172	18705	8388	6518	0
1980	29062	11896	24367	21896	14069	5308	38992	12040	5710	6700	68649	12177	71856	2924	21639	11975	25048	4548	41723	9355	13021	9496	7106	0
1970	26431	10202	12957	13354	5938	4535	28352	10885	4952	5587	56360	8640	51264	2924	17752	6486	17852	3755	18391	4823	7100	7569	6307	0
1960	21290	11898	5861	14937	6366	4691	26168	11941	6365	5475	60149	9018	49623	3750	16874	7195	18989	3778	17920	3062	7484	8883	7929	420
1950	19055	13176	4839	15742	5933	4738	19580	12634	5250	4707	47662	9023	31437	4701	15182	7925	20185	2481	22017	2593	7331	7252	6733	353
1940	13946	12911	6048	12644	6631	5463	16095	12207	4607	4980	33651	10286	23858	5988	10976	8013	19255	2778	19407	2543	7223	5858	4958	416
1930	12041	11222	6720	11391	7145	5333	10490	11754	5476	4816	26845	10894	24272	4723	8207	9695	16875	1944	18165	2003	6572	4109	4673	200
1920	9283	12105	5233	9525	7871	5524	11820	8064	5164	4617	20699	12487	14635	6321	7298	7421	18182	0	13640	0	6611	3106	4631	165
1910	11574	8886	0	11282	6294	6492	11822	0	0	3453	26127	0	4766	0	4909	0	16324	0	11575	0	16982	0	4960	519
1900	13084	4328	0	9589	3337	3137	5357	0	0	2361	20181	0	1785	0	0	0	5122	0	8455	0	12223	0	3203	369
